"R0000100","R0536402","S7514300","S8646900","S8647300","S8647500","S8647800"
2075,1982,4,-4,-4,-4,-4
2076,1980,2,4,1,4,1
2077,1984,4,-4,-4,-4,-4
2078,1983,4,-4,-4,-4,-4
2079,1981,4,1,1,1,1
2080,1982,4,-4,-4,-4,-4
2081,1984,2,-4,-4,-4,-4
2082,1982,2,-4,-4,-4,-4
2083,1981,4,-4,-4,-4,-4
2084,1982,4,-4,-4,-4,-4
2085,1981,4,-4,-4,-4,-4
2086,1984,-5,-5,-5,-5,-5
2087,1983,2,-4,-4,-4,-4
2088,1980,2,2,2,2,2
2089,1981,4,-4,-4,-4,-4
2090,1983,4,3,2,2,1
2091,1981,4,-4,-4,-4,-4
2092,1982,4,-4,-4,-4,-4
2093,1982,1,4,2,1,1
2094,1983,2,-4,-4,-4,-4
2095,1982,2,1,2,4,2
2096,1983,2,4,2,4,1
2097,1980,1,-4,-4,-4,-4
2098,1981,1,-4,-4,-4,-4
2099,1981,1,-4,-4,-4,-4
2100,1984,2,-4,-4,-4,-4
2101,1984,2,-4,-4,-4,-4
2102,1980,0,2,2,1,1
2103,1984,2,-4,-4,-4,-4
2104,1984,2,-4,-4,-4,-4
2105,1981,3,-4,-4,-4,-4
2106,1981,2,-4,-4,-4,-4
2107,1982,4,-4,-4,-4,-4
2108,1982,2,-4,-4,-4,-4
2109,1984,2,-4,-4,-4,-4
2110,1980,-5,-5,-5,-5,-5
2111,1980,2,-4,-4,-4,-4
2112,1981,4,-4,-4,-4,-4
2113,1983,-5,-5,-5,-5,-5
2114,1982,3,-4,-4,-4,-4
2115,1981,1,-4,-4,-4,-4
2116,1980,2,-4,-4,-4,-4
2117,1982,0,-4,-4,-4,-4
2118,1984,2,-4,-4,-4,-4
2119,1980,0,4,1,2,1
2120,1983,2,-4,-4,-4,-4
2121,1980,2,-4,-4,-4,-4
2122,1983,1,-4,-4,-4,-4
2123,1981,4,3,3,3,2
2124,1983,1,-4,-4,-4,-4
2125,1983,4,-4,-4,-4,-4
2126,1982,2,3,1,4,2
2127,1980,-5,-5,-5,-5,-5
2128,1982,-5,-5,-5,-5,-5
2129,1983,4,-4,-4,-4,-4
2130,1984,3,3,2,4,2
2131,1981,2,-4,-4,-4,-4
2132,1984,3,3,2,4,1
2133,1982,4,-4,-4,-4,-4
2134,1980,2,-4,-4,-4,-4
2135,1984,2,-4,-4,-4,-4
2136,1982,1,-4,-4,-4,-4
2137,1982,2,-4,-4,-4,-4
2138,1980,1,-4,-4,-4,-4
2139,1981,0,-4,-4,-4,-4
2140,1981,-5,-5,-5,-5,-5
2141,1984,-5,-5,-5,-5,-5
2142,1983,2,-4,-4,-4,-4
2143,1984,2,-4,-4,-4,-4
2144,1982,-5,-5,-5,-5,-5
2145,1980,2,-4,-4,-4,-4
2146,1983,-5,-5,-5,-5,-5
2147,1981,2,-4,-4,-4,-4
2148,1980,2,-4,-4,-4,-4
2149,1983,2,-4,-4,-4,-4
2150,1980,2,-4,-4,-4,-4
2151,1981,-5,-5,-5,-5,-5
2152,1980,3,-4,-4,-4,-4
2153,1982,2,-4,-4,-4,-4
2154,1980,0,-4,-4,-4,-4
2155,1981,-5,-5,-5,-5,-5
2156,1981,1,-4,-4,-4,-4
2157,1981,1,-4,-4,-4,-4
2158,1983,2,-4,-4,-4,-4
2159,1982,2,-4,-4,-4,-4
2160,1983,2,-2,2,2,2
2161,1980,0,-4,-4,-4,-4
2162,1982,2,-4,-4,-4,-4
2163,1980,4,3,2,1,2
2164,1982,2,-4,-4,-4,-4
2165,1984,2,2,2,1,1
2166,1982,-5,-5,-5,-5,-5
2167,1983,-5,-5,-5,-5,-5
2168,1981,-5,-5,-5,-5,-5
2169,1984,2,-4,-4,-4,-4
2170,1983,2,-4,-4,-4,-4
2171,1983,4,2,2,3,2
2172,1981,2,-4,-4,-4,-4
2173,1980,1,-4,-4,-4,-4
2174,1981,2,2,2,4,1
2175,1982,0,-4,-4,-4,-4
2176,1981,2,2,2,3,1
2177,1984,2,2,2,1,3
2178,1982,2,1,4,4,1
2179,1984,-5,-5,-5,-5,-5
2180,1982,2,-4,-4,-4,-4
2181,1982,3,-4,-4,-4,-4
2182,1981,4,-4,-4,-4,-4
2183,1983,4,-4,-4,-4,-4
2184,1981,3,-4,-4,-4,-4
2185,1982,2,1,1,2,1
2186,1984,2,-4,-4,-4,-4
2187,1982,4,-4,-4,-4,-4
2188,1980,2,-4,-4,-4,-4
2189,1981,2,-4,-4,-4,-4
2190,1984,4,2,2,2,2
2191,1982,2,-4,-4,-4,-4
2192,1983,2,1,2,1,1
2193,1981,-5,-5,-5,-5,-5
2194,1983,2,-4,-4,-4,-4
2195,1984,2,2,2,2,1
2196,1980,-5,-5,-5,-5,-5
2197,1982,2,1,2,1,1
2198,1980,-5,-5,-5,-5,-5
2199,1982,-5,-5,-5,-5,-5
2200,1984,2,-4,-4,-4,-4
2201,1981,-5,-5,-5,-5,-5
2202,1981,4,-4,-4,-4,-4
2203,1983,4,-4,-4,-4,-4
2204,1981,4,-4,-4,-4,-4
2205,1981,4,-4,-4,-4,-4
2206,1983,2,-4,-4,-4,-4
2207,1981,2,-4,-4,-4,-4
2208,1980,4,4,2,2,1
2209,1982,4,-4,-4,-4,-4
2210,1980,2,-4,-4,-4,-4
2211,1984,2,-4,-4,-4,-4
2212,1982,2,-4,-4,-4,-4
2213,1983,4,-4,-4,-4,-4
2214,1980,-5,-5,-5,-5,-5
2215,1984,-5,-5,-5,-5,-5
2216,1980,-5,-5,-5,-5,-5
2217,1980,1,-4,-4,-4,-4
2218,1982,2,-4,-4,-4,-4
2219,1980,2,-4,-4,-4,-4
2220,1984,2,-4,-4,-4,-4
2221,1981,-5,-5,-5,-5,-5
2222,1980,-5,-5,-5,-5,-5
2223,1981,2,3,2,1,1
2224,1983,2,-4,-4,-4,-4
2225,1983,2,-4,-4,-4,-4
2226,1983,2,-4,-4,-4,-4
2227,1984,2,-4,-4,-4,-4
2228,1984,2,2,2,1,1
2229,1983,1,1,1,2,1
2230,1983,1,3,3,1,1
2231,1983,4,-4,-4,-4,-4
2232,1981,-5,-5,-5,-5,-5
2233,1984,-5,-5,-5,-5,-5
2234,1981,0,3,2,3,1
2235,1984,2,-4,-4,-4,-4
2236,1981,5,-4,-4,-4,-4
2237,1983,2,2,2,2,1
2238,1981,0,-4,-4,-4,-4
2239,1981,-5,-5,-5,-5,-5
2240,1981,-5,-5,-5,-5,-5
2241,1983,-5,-5,-5,-5,-5
2242,1980,-5,-5,-5,-5,-5
2243,1983,-5,-5,-5,-5,-5
2244,1982,-5,-5,-5,-5,-5
2245,1984,2,-4,-4,-4,-4
2246,1981,4,-4,-4,-4,-4
2247,1982,2,-4,-4,-4,-4
2248,1984,2,-4,-4,-4,-4
2249,1980,-5,-5,-5,-5,-5
2250,1981,4,-4,-4,-4,-4
2251,1984,2,-4,-4,-4,-4
2252,1981,4,3,2,2,1
2253,1982,4,-4,-4,-4,-4
2254,1981,2,-4,-4,-4,-4
2255,1981,2,-4,-4,-4,-4
2256,1983,2,-4,-4,-4,-4
2257,1980,2,2,2,3,1
2258,1984,2,-4,-4,-4,-4
2260,1984,0,2,1,1,1
2261,1980,2,2,3,3,1
2262,1983,2,-4,-4,-4,-4
2263,1982,1,2,1,1,1
2264,1983,2,-4,-4,-4,-4
2265,1982,2,1,1,1,1
2266,1984,2,4,2,1,2
2267,1982,0,-4,-4,-4,-4
2268,1981,-5,-5,-5,-5,-5
2269,1982,-5,-5,-5,-5,-5
2270,1981,4,-4,-4,-4,-4
2271,1981,4,2,2,-2,-2
2272,1983,-5,-5,-5,-5,-5
2273,1981,2,-4,-4,-4,-4
2274,1984,0,-4,-4,-4,-4
2275,1980,4,-4,-4,-4,-4
2276,1983,2,-4,-4,-4,-4
2277,1980,2,-4,-4,-4,-4
2278,1982,1,-4,-4,-4,-4
2279,1983,2,-4,-4,-4,-4
2280,1984,4,-4,-4,-4,-4
2281,1981,2,2,2,2,2
2282,1984,0,2,2,2,2
2283,1982,0,-4,-4,-4,-4
2284,1980,2,-4,-4,-4,-4
2285,1984,0,-4,-4,-4,-4
2286,1981,0,-4,-4,-4,-4
2287,1981,-5,-5,-5,-5,-5
2288,1982,2,-4,-4,-4,-4
2289,1982,-5,-5,-5,-5,-5
2290,1983,4,-4,-4,-4,-4
2291,1981,2,-4,-4,-4,-4
2292,1980,2,1,1,4,1
2293,1980,2,4,2,2,1
2294,1981,3,-4,-4,-4,-4
2295,1981,0,1,1,2,1
2296,1983,2,-4,-4,-4,-4
2297,1981,2,1,2,3,2
2298,1984,2,-4,-4,-4,-4
2299,1984,2,3,1,-2,1
2300,1980,-5,-5,-5,-5,-5
2301,1983,-5,-5,-5,-5,-5
2302,1982,2,-4,-4,-4,-4
2303,1983,-5,-5,-5,-5,-5
2304,1980,7,-4,-4,-4,-4
2305,1982,1,2,3,4,2
2306,1980,0,-4,-4,-4,-4
2307,1984,4,-4,-4,-4,-4
2308,1983,2,-4,-4,-4,-4
2309,1984,2,-4,-4,-4,-4
2310,1980,2,-4,-4,-4,-4
2311,1983,2,-4,-4,-4,-4
2312,1981,1,-4,-4,-4,-4
2313,1982,2,-4,-4,-4,-4
2314,1984,0,4,2,2,1
2315,1982,0,-4,-4,-4,-4
2316,1982,3,-4,-4,-4,-4
2317,1984,1,-4,-4,-4,-4
2318,1980,2,-4,-4,-4,-4
2319,1982,2,-4,-4,-4,-4
2320,1980,2,-4,-4,-4,-4
2321,1982,1,-4,-4,-4,-4
2322,1984,0,1,-2,4,1
2323,1980,0,-4,-4,-4,-4
2324,1982,0,3,2,4,1
2325,1983,0,-4,-4,-4,-4
2326,1981,2,4,4,4,1
2327,1982,2,-4,-4,-4,-4
2328,1982,4,-4,-4,-4,-4
2329,1981,4,-4,-4,-4,-4
2330,1984,2,-4,-4,-4,-4
2331,1982,4,3,1,4,1
2332,1984,2,-4,-4,-4,-4
2333,1981,5,-4,-4,-4,-4
2334,1981,4,-4,-4,-4,-4
2335,1984,2,-4,-4,-4,-4
2336,1983,3,-4,-4,-4,-4
2337,1982,2,-4,-4,-4,-4
2338,1984,2,-4,-4,-4,-4
2339,1980,2,-4,-4,-4,-4
2340,1982,-5,-5,-5,-5,-5
2341,1984,2,-4,-4,-4,-4
2342,1981,2,4,3,3,2
2343,1983,2,2,2,3,1
2344,1984,4,-4,-4,-4,-4
2345,1981,4,2,2,2,1
2346,1981,4,-4,-4,-4,-4
2347,1984,2,-4,-4,-4,-4
2348,1983,4,-4,-4,-4,-4
2349,1980,2,-4,-4,-4,-4
2350,1982,4,-4,-4,-4,-4
2351,1984,2,1,2,1,1
2352,1980,2,-4,-4,-4,-4
2353,1981,3,-4,-4,-4,-4
2354,1980,-5,-5,-5,-5,-5
2355,1981,1,3,3,2,2
2356,1984,1,-4,-4,-4,-4
2357,1983,0,-4,-4,-4,-4
2358,1984,0,-4,-4,-4,-4
2359,1980,1,-4,-4,-4,-4
2360,1983,1,-4,-4,-4,-4
2361,1981,1,-4,-4,-4,-4
2362,1983,2,-4,-4,-4,-4
2363,1980,-5,-5,-5,-5,-5
2364,1983,2,2,1,2,1
2365,1984,2,-4,-4,-4,-4
2366,1981,-5,-5,-5,-5,-5
2367,1980,-5,-5,-5,-5,-5
2368,1982,2,-4,-4,-4,-4
2369,1983,2,-4,-4,-4,-4
2370,1981,0,-4,-4,-4,-4
2371,1982,4,-4,-4,-4,-4
2372,1981,1,-4,-4,-4,-4
2373,1981,4,2,2,3,1
2374,1982,2,-4,-4,-4,-4
2375,1984,2,4,4,4,2
2376,1980,4,4,3,4,1
2377,1983,2,-4,-4,-4,-4
2378,1980,5,3,3,4,3
2379,1983,3,-4,-4,-4,-4
2380,1984,3,-4,-4,-4,-4
2381,1984,2,-4,-4,-4,-4
2382,1981,2,-4,-4,-4,-4
2383,1981,4,1,2,4,2
2384,1981,-3,-4,-4,-4,-4
2385,1983,4,-4,-4,-4,-4
2386,1980,4,-4,-4,-4,-4
2387,1981,1,-4,-4,-4,-4
2388,1982,2,-4,-4,-4,-4
2389,1981,3,-4,-4,-4,-4
2390,1982,1,-4,-4,-4,-4
2391,1983,2,-4,-4,-4,-4
2392,1981,4,-4,-4,-4,-4
2393,1983,2,-4,-4,-4,-4
2394,1982,4,-4,-4,-4,-4
2395,1984,4,2,2,2,1
2396,1980,4,2,2,1,1
2397,1981,4,-4,-4,-4,-4
2398,1982,4,1,2,2,2
2399,1982,3,-4,-4,-4,-4
2400,1982,2,1,1,3,2
2401,1982,4,-4,-4,-4,-4
2402,1982,2,-4,-4,-4,-4
2403,1980,2,2,1,2,1
2404,1984,2,-4,-4,-4,-4
2405,1981,-5,-5,-5,-5,-5
2406,1984,3,-4,-4,-4,-4
2407,1980,2,-4,-4,-4,-4
2408,1982,-5,-5,-5,-5,-5
2409,1981,2,-4,-4,-4,-4
2410,1983,2,-4,-4,-4,-4
2411,1982,2,-4,-4,-4,-4
2412,1980,-5,-5,-5,-5,-5
2413,1984,-5,-5,-5,-5,-5
2414,1980,4,-4,-4,-4,-4
2415,1980,-5,-5,-5,-5,-5
2416,1980,4,-4,-4,-4,-4
2417,1983,1,-4,-4,-4,-4
2418,1981,0,-4,-4,-4,-4
2419,1984,0,-4,-4,-4,-4
2420,1984,2,-4,-4,-4,-4
2421,1980,-5,-5,-5,-5,-5
2422,1981,-5,-5,-5,-5,-5
2423,1980,3,4,2,3,2
2424,1984,-5,-5,-5,-5,-5
2425,1980,-5,-5,-5,-5,-5
2426,1980,2,3,2,2,2
2427,1981,1,2,2,1,1
2428,1980,-5,-5,-5,-5,-5
2429,1982,-5,-5,-5,-5,-5
2430,1981,2,-4,-4,-4,-4
2431,1984,3,-4,-4,-4,-4
2432,1980,-5,-5,-5,-5,-5
2433,1983,2,-4,-4,-4,-4
2434,1980,4,3,3,4,2
2435,1983,3,-4,-4,-4,-4
2436,1980,-5,-5,-5,-5,-5
2437,1984,4,-4,-4,-4,-4
2438,1983,0,1,-2,3,1
2439,1982,3,-4,-4,-4,-4
2440,1980,2,3,2,2,1
2441,1981,4,-4,-4,-4,-4
2442,1982,1,-4,-4,-4,-4
2443,1984,2,-4,-4,-4,-4
2444,1984,-5,-5,-5,-5,-5
2445,1982,0,-4,-4,-4,-4
2446,1984,1,-4,-4,-4,-4
2447,1980,2,-4,-4,-4,-4
2448,1981,4,3,2,2,1
2449,1981,-5,-5,-5,-5,-5
2450,1982,-5,-5,-5,-5,-5
2451,1982,-5,-5,-5,-5,-5
2452,1982,0,-4,-4,-4,-4
2453,1983,2,-4,-4,-4,-4
2454,1982,1,2,2,2,1
2455,1983,0,-4,-4,-4,-4
2456,1982,1,-4,-4,-4,-4
2457,1983,1,-4,-4,-4,-4
2458,1984,-5,-5,-5,-5,-5
2459,1981,4,-4,-4,-4,-4
2460,1983,-5,-5,-5,-5,-5
2461,1982,4,-4,-4,-4,-4
2462,1981,2,-4,-4,-4,-4
2463,1984,3,-4,-4,-4,-4
2464,1980,4,-4,-4,-4,-4
2465,1982,4,-4,-4,-4,-4
2466,1984,4,4,2,3,1
2467,1984,2,-4,-4,-4,-4
2468,1982,-5,-5,-5,-5,-5
2469,1981,2,-4,-4,-4,-4
2470,1982,-5,-5,-5,-5,-5
2471,1981,-5,-5,-5,-5,-5
2472,1983,4,4,2,4,1
2473,1982,2,3,2,3,2
2474,1984,0,1,2,2,1
2475,1980,2,-4,-4,-4,-4
2476,1983,4,-4,-4,-4,-4
2477,1984,2,-4,-4,-4,-4
2478,1980,-5,-5,-5,-5,-5
2479,1982,2,-4,-4,-4,-4
2480,1981,4,-4,-4,-4,-4
2481,1984,3,2,2,2,2
2482,1981,4,2,1,1,1
2483,1983,2,-4,-4,-4,-4
2484,1983,-5,-5,-5,-5,-5
2485,1983,-5,-5,-5,-5,-5
2486,1980,2,-4,-4,-4,-4
2487,1982,2,-4,-4,-4,-4
2488,1984,-5,-5,-5,-5,-5
2489,1980,-5,-5,-5,-5,-5
2490,1983,2,-4,-4,-4,-4
2491,1984,2,4,1,1,1
2492,1980,-5,-5,-5,-5,-5
2493,1982,4,-4,-4,-4,-4
2494,1984,2,-4,-4,-4,-4
2495,1980,-5,-5,-5,-5,-5
2496,1982,4,-4,-4,-4,-4
2497,1983,2,-2,2,3,2
2498,1980,3,-4,-4,-4,-4
2499,1981,3,-4,-4,-4,-4
2500,1983,2,-4,-4,-4,-4
2501,1983,2,2,2,3,1
2502,1982,0,-4,-4,-4,-4
2503,1980,2,-4,-4,-4,-4
2504,1984,2,-4,-4,-4,-4
2505,1982,1,-4,-4,-4,-4
2506,1984,0,-4,-4,-4,-4
2507,1984,2,-4,-4,-4,-4
2508,1982,2,-4,-4,-4,-4
2509,1980,2,-4,-4,-4,-4
2510,1983,2,-4,-4,-4,-4
2511,1980,-5,-5,-5,-5,-5
2512,1981,2,-4,-4,-4,-4
2513,1980,4,-4,-4,-4,-4
2514,1981,2,-4,-4,-4,-4
2515,1983,2,-4,-4,-4,-4
2516,1981,1,-4,-4,-4,-4
2517,1984,2,-4,-4,-4,-4
2518,1981,2,4,-2,4,2
2519,1981,3,-4,-4,-4,-4
2520,1981,0,-4,-4,-4,-4
2521,1983,3,-4,-4,-4,-4
2522,1981,4,-4,-4,-4,-4
2523,1984,4,-4,-4,-4,-4
2524,1982,4,3,2,3,2
2525,1984,2,-4,-4,-4,-4
2526,1981,2,-4,-4,-4,-4
2527,1982,2,-4,-4,-4,-4
2528,1981,4,-4,-4,-4,-4
2529,1981,2,-4,-4,-4,-4
2530,1980,2,-4,-4,-4,-4
2531,1982,2,-4,-4,-4,-4
2532,1980,2,-4,-4,-4,-4
2533,1982,1,-4,-4,-4,-4
2534,1983,1,2,1,-2,1
2535,1981,2,-4,-4,-4,-4
2536,1981,2,-4,-4,-4,-4
2537,1983,2,-4,-4,-4,-4
2538,1980,2,-4,-4,-4,-4
2539,1983,-5,-5,-5,-5,-5
2540,1982,-5,-5,-5,-5,-5
2541,1984,-5,-5,-5,-5,-5
2542,1981,2,2,1,4,1
2543,1980,3,2,2,3,2
2544,1983,2,-4,-4,-4,-4
2545,1981,2,-4,-4,-4,-4
2546,1981,1,-4,-4,-4,-4
2547,1981,2,-4,-4,-4,-4
2548,1984,2,-4,-4,-4,-4
2549,1983,-5,-5,-5,-5,-5
2550,1983,2,1,1,2,1
2551,1981,4,-4,-4,-4,-4
2552,1984,2,-4,-4,-4,-4
2553,1980,3,-4,-4,-4,-4
2554,1981,4,-4,-4,-4,-4
2555,1981,4,-4,-4,-4,-4
2556,1980,2,-4,-4,-4,-4
2557,1984,2,-4,-4,-4,-4
2558,1981,5,-4,-4,-4,-4
2559,1983,1,-4,-4,-4,-4
2560,1980,-5,-5,-5,-5,-5
2561,1980,2,-4,-4,-4,-4
2562,1983,2,-4,-4,-4,-4
2563,1983,2,-4,-4,-4,-4
2564,1984,2,-4,-4,-4,-4
2565,1981,4,2,2,-2,1
2566,1984,2,2,1,1,2
2567,1980,2,-4,-4,-4,-4
2568,1980,2,3,3,2,1
2569,1982,2,-4,-4,-4,-4
2570,1981,-5,-5,-5,-5,-5
2571,1984,2,-4,-4,-4,-4
2572,1982,4,3,2,2,2
2573,1983,2,-4,-4,-4,-4
2574,1981,3,-4,-4,-4,-4
2575,1981,4,4,3,3,2
2576,1983,2,3,1,-2,1
2577,1980,2,-4,-4,-4,-4
2578,1980,-5,-5,-5,-5,-5
2579,1980,4,3,2,2,1
2580,1982,4,-4,-4,-4,-4
2581,1983,2,-4,-4,-4,-4
2582,1982,2,2,2,2,2
2583,1982,2,-4,-4,-4,-4
2584,1983,3,-4,-4,-4,-4
2585,1980,2,-4,-4,-4,-4
2586,1984,2,-4,-4,-4,-4
2587,1983,-5,-5,-5,-5,-5
2588,1983,-5,-5,-5,-5,-5
2589,1982,2,-4,-4,-4,-4
2590,1981,0,1,1,2,1
2591,1981,-5,-5,-5,-5,-5
2592,1981,4,-4,-4,-4,-4
2593,1984,2,-4,-4,-4,-4
2594,1983,2,3,2,2,1
2595,1980,0,-4,-4,-4,-4
2596,1980,4,2,2,2,1
2597,1983,2,-4,-4,-4,-4
2598,1981,2,1,1,1,1
2599,1981,2,-4,-4,-4,-4
2600,1982,2,3,2,4,2
2601,1981,2,-4,-4,-4,-4
2602,1982,2,-4,-4,-4,-4
2603,1983,2,-4,-4,-4,-4
2604,1983,2,-4,-4,-4,-4
2605,1983,-5,-5,-5,-5,-5
2606,1980,-5,-5,-5,-5,-5
2607,1981,4,-4,-4,-4,-4
2608,1984,2,2,1,-2,1
2609,1982,2,1,-2,1,1
2610,1982,-5,-5,-5,-5,-5
2611,1981,2,4,2,1,1
2612,1984,2,-4,-4,-4,-4
2613,1981,2,4,3,2,3
2614,1983,2,-4,-4,-4,-4
2615,1981,4,-4,-4,-4,-4
2616,1981,4,-4,-4,-4,-4
2617,1984,2,-4,-4,-4,-4
2618,1983,4,-4,-4,-4,-4
2619,1981,2,-4,-4,-4,-4
2620,1981,-5,-5,-5,-5,-5
2621,1983,2,-4,-4,-4,-4
2622,1981,2,-4,-4,-4,-4
2623,1984,2,-4,-4,-4,-4
2624,1981,4,-4,-4,-4,-4
2625,1980,4,3,2,3,2
2626,1981,4,-4,-4,-4,-4
2627,1982,2,-4,-4,-4,-4
2628,1982,2,-4,-4,-4,-4
2629,1982,2,-4,-4,-4,-4
2630,1982,2,3,3,2,2
2631,1984,-5,-5,-5,-5,-5
2632,1983,2,-4,-4,-4,-4
2633,1983,-5,-5,-5,-5,-5
2634,1980,2,-4,-4,-4,-4
2635,1982,4,-4,-4,-4,-4
2636,1984,-5,-5,-5,-5,-5
2637,1981,4,-4,-4,-4,-4
2638,1980,4,4,2,3,2
2639,1980,5,3,2,2,1
2640,1984,4,-4,-4,-4,-4
2641,1981,1,-4,-4,-4,-4
2642,1982,2,-4,-4,-4,-4
2643,1982,0,-4,-4,-4,-4
2644,1984,-5,-5,-5,-5,-5
2645,1984,1,-4,-4,-4,-4
2648,1982,-5,-5,-5,-5,-5
2649,1984,2,-4,-4,-4,-4
2650,1984,2,-4,-4,-4,-4
2651,1983,-3,-4,-4,-4,-4
2652,1983,1,-4,-4,-4,-4
2653,1980,0,-2,2,2,1
2654,1983,4,-4,-4,-4,-4
2655,1984,2,-4,-4,-4,-4
2656,1981,0,-4,-4,-4,-4
2657,1982,0,1,1,2,1
2658,1981,4,3,2,2,1
2659,1981,7,-4,-4,-4,-4
2660,1980,-5,-5,-5,-5,-5
2661,1982,2,-4,-4,-4,-4
2662,1982,4,-4,-4,-4,-4
2663,1981,4,-4,-4,-4,-4
2664,1981,4,-4,-4,-4,-4
2665,1983,2,-4,-4,-4,-4
2666,1983,2,-4,-4,-4,-4
2667,1984,-5,-5,-5,-5,-5
2668,1980,2,1,3,1,1
2669,1981,4,-4,-4,-4,-4
2670,1983,4,3,3,4,1
2671,1980,2,-4,-4,-4,-4
2672,1980,4,-4,-4,-4,-4
2673,1983,-3,-4,-4,-4,-4
2674,1982,2,-4,-4,-4,-4
2675,1984,2,2,2,3,2
2676,1984,2,-4,-4,-4,-4
2677,1982,2,2,2,2,2
2678,1984,2,-4,-4,-4,-4
2679,1980,4,-4,-4,-4,-4
2680,1981,1,3,3,3,1
2681,1981,4,-4,-4,-4,-4
2682,1983,2,-4,-4,-4,-4
2683,1983,2,-4,-4,-4,-4
2684,1982,2,-4,-4,-4,-4
2685,1980,2,-4,-4,-4,-4
2686,1983,-5,-5,-5,-5,-5
2687,1983,-5,-5,-5,-5,-5
2688,1980,2,-4,-4,-4,-4
2689,1982,4,-4,-4,-4,-4
2690,1983,2,-4,-4,-4,-4
2691,1982,2,-4,-4,-4,-4
2692,1980,-5,-5,-5,-5,-5
2693,1981,3,1,1,1,2
2694,1980,0,-4,-4,-4,-4
2695,1981,-5,-5,-5,-5,-5
2696,1983,0,-4,-4,-4,-4
2697,1980,2,-4,-4,-4,-4
2698,1981,4,-4,-4,-4,-4
2699,1982,4,4,2,3,2
2700,1984,2,-4,-4,-4,-4
2701,1980,3,-4,-4,-4,-4
2702,1983,2,-4,-4,-4,-4
2703,1980,4,3,3,4,1
2704,1980,2,-4,-4,-4,-4
2705,1980,2,-4,-4,-4,-4
2706,1982,0,-4,-4,-4,-4
2707,1983,2,-4,-4,-4,-4
2708,1984,2,-4,-4,-4,-4
2709,1981,4,3,2,1,2
2710,1983,4,-4,-4,-4,-4
2711,1983,4,-4,-4,-4,-4
2712,1983,0,-4,-4,-4,-4
2713,1984,0,4,4,2,1
2714,1984,2,1,1,2,1
2715,1981,2,-4,-4,-4,-4
2716,1983,2,3,2,3,1
2717,1980,2,-4,-4,-4,-4
2718,1983,0,2,2,3,1
2719,1984,1,-4,-4,-4,-4
2720,1980,2,-4,-4,-4,-4
2721,1982,2,-4,-4,-4,-4
2722,1981,2,-4,-4,-4,-4
2723,1984,2,-4,-4,-4,-4
2724,1982,-5,-5,-5,-5,-5
2725,1982,-5,-5,-5,-5,-5
2726,1981,-5,-5,-5,-5,-5
2727,1982,4,-4,-4,-4,-4
2728,1984,4,-4,-4,-4,-4
2729,1980,2,-4,-4,-4,-4
2730,1980,4,-2,-2,3,1
2731,1982,4,-4,-4,-4,-4
2732,1983,2,-4,-4,-4,-4
2733,1982,2,-4,-4,-4,-4
2734,1983,4,-4,-4,-4,-4
2735,1984,2,2,1,4,2
2736,1984,2,-4,-4,-4,-4
2737,1981,2,-4,-4,-4,-4
2738,1982,2,-4,-4,-4,-4
2739,1980,2,3,2,3,1
2740,1980,2,-4,-4,-4,-4
2741,1981,2,4,1,3,1
2742,1981,2,-4,-4,-4,-4
2743,1981,2,2,2,2,2
2744,1980,2,-4,-4,-4,-4
2745,1984,0,-4,-4,-4,-4
2746,1983,-5,-5,-5,-5,-5
2747,1980,-5,-5,-5,-5,-5
2748,1984,2,-4,-4,-4,-4
2749,1980,2,-4,-4,-4,-4
2750,1981,4,-4,-4,-4,-4
2751,1984,2,3,1,1,2
2752,1981,1,-4,-4,-4,-4
2753,1982,-5,-5,-5,-5,-5
2754,1982,4,3,3,3,2
2755,1984,3,-4,-4,-4,-4
2756,1983,4,-4,-4,-4,-4
2757,1984,4,3,2,3,4
2758,1980,7,-4,-4,-4,-4
2759,1982,0,-4,-4,-4,-4
2760,1981,0,-4,-4,-4,-4
2761,1982,2,-4,-4,-4,-4
2762,1981,4,-4,-4,-4,-4
2763,1984,2,-4,-4,-4,-4
2764,1984,2,3,1,2,1
2765,1982,-5,-5,-5,-5,-5
2766,1983,0,-4,-4,-4,-4
2767,1980,1,-4,-4,-4,-4
2768,1982,4,-4,-4,-4,-4
2769,1981,-5,-5,-5,-5,-5
2770,1980,4,-4,-4,-4,-4
2771,1980,-5,-5,-5,-5,-5
2772,1982,-5,-5,-5,-5,-5
2773,1981,2,3,1,2,1
2774,1983,1,-4,-4,-4,-4
2775,1982,2,2,1,3,2
2776,1984,2,-4,-4,-4,-4
2777,1981,4,3,1,3,1
2778,1983,4,-4,-4,-4,-4
2779,1981,4,3,3,4,2
2780,1984,2,-4,-4,-4,-4
2781,1980,2,-4,-4,-4,-4
2782,1980,2,3,2,2,1
2783,1980,-5,-5,-5,-5,-5
2784,1980,2,-4,-4,-4,-4
2785,1983,2,-4,-4,-4,-4
2786,1983,-5,-5,-5,-5,-5
2787,1981,2,2,1,3,1
2788,1983,2,3,3,2,1
2789,1982,2,-4,-4,-4,-4
2790,1980,2,-4,-4,-4,-4
2791,1982,4,4,3,3,2
2792,1984,4,-4,-4,-4,-4
2793,1983,2,-4,-4,-4,-4
2794,1981,2,-4,-4,-4,-4
2795,1981,2,-4,-4,-4,-4
2796,1984,-5,-5,-5,-5,-5
2797,1980,-5,-5,-5,-5,-5
