"R0000100","R0536402","S7514300","S8646900","S8647300","S8647500","S8647800"
171,1984,2,-4,-4,-4,-4
172,1983,-5,-5,-5,-5,-5
173,1980,-5,-5,-5,-5,-5
174,1983,-5,-5,-5,-5,-5
175,1981,4,-4,-4,-4,-4
176,1982,4,-4,-4,-4,-4
177,1980,4,-4,-4,-4,-4
178,1980,4,-4,-4,-4,-4
179,1981,-5,-5,-5,-5,-5
180,1983,4,-4,-4,-4,-4
181,1982,4,-4,-4,-4,-4
182,1984,4,3,2,2,1
183,1980,2,-4,-4,-4,-4
184,1984,2,-4,-4,-4,-4
185,1981,2,1,2,1,1
186,1983,-5,-5,-5,-5,-5
187,1983,4,-4,-4,-4,-4
188,1980,-5,-5,-5,-5,-5
189,1984,-5,-5,-5,-5,-5
190,1983,-5,-5,-5,-5,-5
191,1982,2,1,3,-2,2
192,1982,2,-4,-4,-4,-4
193,1981,2,-4,-4,-4,-4
194,1980,2,-4,-4,-4,-4
195,1983,2,3,4,1,1
196,1984,-5,-5,-5,-5,-5
197,1981,-5,-5,-5,-5,-5
198,1980,2,-4,-4,-4,-4
199,1982,2,-4,-4,-4,-4
200,1980,-5,-5,-5,-5,-5
201,1983,4,4,2,4,3
202,1982,1,-4,-4,-4,-4
203,1984,2,-4,-4,-4,-4
204,1981,2,4,3,3,1
205,1983,-3,2,2,1,2
206,1982,3,-4,-4,-4,-4
207,1981,-5,-5,-5,-5,-5
208,1984,-5,-5,-5,-5,-5
209,1983,-5,-5,-5,-5,-5
210,1984,2,-4,-4,-4,-4
211,1980,4,-4,-4,-4,-4
212,1980,1,-4,-4,-4,-4
213,1982,3,-4,-4,-4,-4
214,1982,2,2,2,1,1
215,1981,2,-4,-4,-4,-4
216,1980,1,2,2,1,1
217,1982,2,-4,-4,-4,-4
218,1983,-5,-5,-5,-5,-5
219,1982,4,1,4,3,1
220,1984,-5,-5,-5,-5,-5
221,1984,3,-4,-4,-4,-4
222,1981,2,-4,-4,-4,-4
223,1981,2,1,2,3,1
224,1982,2,-4,-4,-4,-4
225,1980,2,4,2,-2,2
226,1981,2,-4,-4,-4,-4
227,1980,0,-2,2,-1,-1
228,1984,3,-4,-4,-4,-4
229,1984,4,-4,-4,-4,-4
230,1984,2,-4,-4,-4,-4
231,1980,1,-4,-4,-4,-4
232,1984,2,-4,-4,-4,-4
233,1980,2,-4,-4,-4,-4
234,1983,2,-4,-4,-4,-4
235,1981,4,-4,-4,-4,-4
236,1984,3,-4,-4,-4,-4
237,1983,2,-4,-4,-4,-4
238,1981,2,3,3,3,1
239,1980,2,-4,-4,-4,-4
240,1983,4,-4,-4,-4,-4
241,1983,4,1,1,1,1
242,1984,2,-4,-4,-4,-4
243,1983,2,-4,-4,-4,-4
244,1983,2,-4,-4,-4,-4
245,1984,2,-4,-4,-4,-4
246,1980,-5,-5,-5,-5,-5
247,1982,4,-4,-4,-4,-4
248,1983,2,-4,-4,-4,-4
249,1981,-5,-5,-5,-5,-5
250,1981,-5,-5,-5,-5,-5
251,1982,4,-4,-4,-4,-4
252,1984,2,-4,-4,-4,-4
253,1984,-5,-5,-5,-5,-5
254,1981,2,-4,-4,-4,-4
255,1983,-5,-5,-5,-5,-5
256,1980,1,-4,-4,-4,-4
257,1984,1,-4,-4,-4,-4
258,1982,4,-4,-4,-4,-4
259,1981,-5,-5,-5,-5,-5
260,1980,4,-4,-4,-4,-4
261,1983,2,2,2,4,3
262,1980,0,1,1,1,1
263,1983,1,1,1,1,1
264,1982,2,-4,-4,-4,-4
265,1983,2,2,2,3,2
266,1980,3,2,2,1,1
267,1980,5,-4,-4,-4,-4
268,1981,2,-4,-4,-4,-4
269,1981,-5,-5,-5,-5,-5
270,1984,2,-4,-4,-4,-4
271,1982,0,-4,-4,-4,-4
272,1982,1,-4,-4,-4,-4
273,1983,0,-4,-4,-4,-4
274,1980,0,-4,-4,-4,-4
275,1980,0,-4,-4,-4,-4
276,1982,0,-4,-4,-4,-4
277,1984,-5,-5,-5,-5,-5
278,1980,2,-4,-4,-4,-4
279,1981,-5,-5,-5,-5,-5
280,1983,-5,-5,-5,-5,-5
281,1984,2,-4,-4,-4,-4
282,1980,2,-4,-4,-4,-4
283,1984,2,-4,-4,-4,-4
284,1981,3,-4,-4,-4,-4
285,1981,-5,-5,-5,-5,-5
286,1984,2,-4,-4,-4,-4
287,1980,2,-4,-4,-4,-4
288,1983,2,-4,-4,-4,-4
289,1984,2,-4,-4,-4,-4
290,1984,2,-4,-4,-4,-4
291,1980,2,-4,-4,-4,-4
292,1984,2,-4,-4,-4,-4
293,1983,2,-4,-4,-4,-4
294,1982,2,-4,-4,-4,-4
295,1984,2,-4,-4,-4,-4
296,1981,4,-4,-4,-4,-4
297,1984,2,-4,-4,-4,-4
298,1983,2,-4,-4,-4,-4
299,1981,2,-4,-4,-4,-4
300,1984,4,-4,-4,-4,-4
301,1981,-5,-5,-5,-5,-5
302,1984,-5,-5,-5,-5,-5
303,1980,-5,-5,-5,-5,-5
304,1983,2,-4,-4,-4,-4
305,1983,2,-4,-4,-4,-4
306,1980,2,-4,-4,-4,-4
307,1980,4,4,3,3,1
308,1981,2,-4,-4,-4,-4
309,1981,4,-4,-4,-4,-4
310,1982,4,4,-2,-2,2
311,1982,2,-4,-4,-4,-4
312,1982,2,2,1,1,1
313,1981,4,-4,-4,-4,-4
314,1984,-3,3,3,2,2
315,1982,2,-1,-1,-1,-1
316,1982,-5,-5,-5,-5,-5
317,1980,3,-4,-4,-4,-4
318,1983,-5,-5,-5,-5,-5
319,1983,-5,-5,-5,-5,-5
320,1982,-5,-5,-5,-5,-5
321,1981,2,3,1,4,2
322,1982,4,-4,-4,-4,-4
323,1980,2,-4,-4,-4,-4
324,1980,-5,-5,-5,-5,-5
325,1984,2,-4,-4,-4,-4
326,1980,4,3,2,2,2
327,1983,4,-4,-4,-4,-4
328,1984,-5,-5,-5,-5,-5
329,1984,4,-4,-4,-4,-4
330,1982,-5,-5,-5,-5,-5
331,1980,2,-4,-4,-4,-4
332,1980,4,-4,-4,-4,-4
333,1982,2,-4,-4,-4,-4
334,1984,4,-4,-4,-4,-4
335,1980,4,-4,-4,-4,-4
336,1982,4,-4,-4,-4,-4
337,1983,2,-4,-4,-4,-4
338,1981,4,-4,-4,-4,-4
339,1981,4,-4,-4,-4,-4
340,1981,3,-4,-4,-4,-4
341,1983,2,-4,-4,-4,-4
342,1982,1,1,2,3,2
343,1984,0,-4,-4,-4,-4
344,1984,-5,-5,-5,-5,-5
345,1984,0,2,3,3,2
346,1984,2,-4,-4,-4,-4
347,1981,2,-4,-4,-4,-4
348,1983,0,-2,2,3,1
349,1984,2,-4,-4,-4,-4
350,1984,2,2,1,3,1
351,1981,2,3,1,3,1
352,1981,-5,-5,-5,-5,-5
353,1982,0,1,1,2,2
354,1982,-5,-5,-5,-5,-5
355,1980,2,-4,-4,-4,-4
356,1982,2,2,1,3,2
357,1981,2,-4,-4,-4,-4
358,1983,3,-4,-4,-4,-4
359,1983,2,2,1,1,1
360,1984,2,-4,-4,-4,-4
361,1980,-5,-5,-5,-5,-5
362,1981,2,-4,-4,-4,-4
363,1983,2,-4,-4,-4,-4
